what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1354245983437
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354245984265
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354245986953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354245989921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246002625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246017578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246022984
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1354246027671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246027687
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1354246039390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246048953
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1354246048968
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1354246065453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246090406
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246099171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246137906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246231250
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354246253406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246255734
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1354246266531
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1354246278765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246288296
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1354246288296
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246299671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246303234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246304562
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1354246306921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246330578
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354246356234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246359640
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1354246370625
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1354246386453
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246397140
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1354246397140
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1354246414156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246437734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246443609
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246448093
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246454359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246455546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246457421
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246460734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246901468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246902890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246925328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246931531
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246933328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354246946390
